,x,y,z,magmean
0,5.97978,0.17976,7.04562,-0.41581248715670327
1,5.54312,-0.02217,7.89935,-0.008491054176996471
2,5.50911,-0.00658,7.953489999999999,0.016447091413683168
3,5.4342,0.04288,7.78781,-0.16225422968442516
4,4.97595,-0.06252,8.153410000000001,-0.10662107042934288
5,5.68967,-0.28552,7.67691,-0.09894353198717987
6,5.38022,-0.29912,8.327010000000001,0.2597409383916389
7,5.36926,-0.06221,7.83121,-0.16339577010313988
8,5.5255,0.22932,7.55887,-0.29278407310976284
9,5.57253,0.11273,7.7529,-0.11022435671157638
10,5.10657,0.1562,8.40044,0.17333853263372312
11,5.7119300000000015,0.55228,7.546130000000002,-0.1784381566844111
12,6.34879,0.649,6.7305899999999985,-0.38350169824194147
13,6.1627199999999975,0.71249,7.19095,-0.16150825458365148
14,5.85478,0.95589,7.8182399999999985,0.15543189757058862
15,6.24342,0.75227,7.1601399999999975,-0.12906527148254732
16,6.526,0.46127,7.221389999999999,0.08553174282088527
17,6.48802,-0.23274,7.12248,-0.02135472054446197
18,6.50774,-0.43959,7.39435,0.20134388876220477
19,6.28046,-0.22807,7.5400800000000014,0.15705946271501503
20,6.24524,0.00746,7.322189999999999,-0.03489224121928558
21,6.03311,-0.01674,7.23056,-0.24170352186141564
22,6.01797,0.05524,7.21709,-0.2615977641178002
23,6.3540800000000015,0.06544,7.39537,0.09169718543143546
24,6.6935600000000015,0.17987,7.22537,0.1923001773599058
25,6.78465,0.01266,7.217189999999999,0.2468339232105201
26,6.33539,0.15692,7.5224,0.1773777783732129
27,6.24106,0.34427,7.02745,-0.25367297441655623
28,6.4166300000000005,0.24876,6.51814,-0.5087658050024952
29,6.25731,-0.11154,7.07793,-0.21075888195586323
30,6.04932,-0.15179,7.270869999999999,-0.19915497611698108
31,6.51591,0.14259000000000002,7.015910000000001,-0.08266018249787344
32,6.3178300000000025,0.31805,7.72733,0.3276855649150665
33,6.40154,0.12503,7.280360000000001,0.0366143656439295
34,6.51616,0.25827,7.35912,0.17409337888654264
35,6.23332,0.35217,7.73096,0.2784112398244698
36,6.17906,0.31535,7.4091,-0.005973836753375039
37,5.73003,0.29918,7.22993,-0.4285989177404943
38,5.8598,0.24666,7.09938,-0.45003999984207965
39,6.59818,0.30173,6.85355,-0.14038620271011304
40,6.691560000000001,0.39255,7.2052,0.18234221144392215
41,6.35205,0.10583,7.42696,0.11471328007978876
42,6.54965,0.45514,7.00598,-0.057192093871289984
43,6.8186,0.5965,7.473219999999999,0.4753156601374684
44,5.9858699999999985,0.62041,8.035,0.38007034050014
45,6.52617,0.11014000000000004,6.47826,-0.4624505707173725
46,6.35149,0.0098,7.25392,-0.017071094992020974
47,6.40749,0.15512,7.025739999999999,-0.14864519545262667
48,5.95303,-0.034730000000000004,6.75258,-0.6566318145770484
49,5.77797,-0.17569,7.6733600000000015,-0.05159904124415604
50,5.70277,0.10269,8.67929,0.7269799133319061
51,6.80698,0.15627,6.9118,0.04349090790928045
52,7.00937,-0.27083,7.5435,0.6422295323585665
53,6.36951,-0.12135,7.58025,0.24310328950058313
54,5.52725,0.11800000000000001,7.29973,-0.5017027110257715
55,6.4470800000000015,-0.11522,6.26657,-0.6671407246920396
56,7.10735,-0.26706,7.04562,0.3526257164583182
57,6.56808,-0.019180000000000003,7.85739,0.5823331436798949
58,6.00664,0.10123,7.19685,-0.2840133809854848
59,6.1806,-0.015030000000000003,6.04895,-1.0105813521354925
60,7.1116899999999985,-0.28807,6.07951,-0.2981611101634254
61,6.41107,-0.06956,7.933910000000001,0.5419727207550409
62,5.11765,0.11797,7.352130000000002,-0.7000061222987402
63,7.387119999999999,0.12643,5.72366,-0.3127951469302488
64,6.98935,0.18257,8.80463,1.584342639354798
65,4.50615,-0.0714,7.642639999999999,-0.7862396427094005
66,7.20798,-0.10626,4.87788,-0.9546722709539264
67,5.55695,-0.09624,8.59694,0.5783148103840272
68,5.70195,0.18355,7.4182,-0.30050876984934227
69,7.03775,-0.16552999999999998,6.65485,0.02863635752387772
70,5.61832,-0.56447,8.433689999999999,0.49075374151596307
71,6.58551,-0.43304,7.526789999999999,0.35175301894144084
72,5.78531,-0.11008,8.92296,0.9762089985572562
73,5.19829,-0.07622000000000001,7.40221,-0.6132113734649742
74,5.55098,-0.04752,6.65855,-0.9896721835596214
75,5.8811300000000015,-0.17453,7.00908,-0.5074444642343838
76,6.34973,-0.13171,7.49255,0.1634615682941032
77,4.89201,0.03343,8.95688,0.5471178378232207
78,5.2747,-0.11606,7.343960000000001,-0.6160343723807689
79,5.12881,-0.06657,7.9847100000000015,-0.16844991800734554
80,5.11555,0.18185,7.65993,-0.44585167250366986
81,5.92747,-0.00577,7.706180000000002,0.06345390221252067
82,5.32106,0.03416,8.19397,0.11146498612481892
83,5.99811,0.05437,7.545269999999999,-0.019638306955346962
84,4.8439,0.20451,9.58995,1.087112156675465
85,5.05882,0.13908,7.902830000000002,-0.2743591675857875
86,4.99802,0.037610000000000005,7.43578,-0.6992042181000127
87,5.13638,-0.10217,7.7446100000000015,-0.3650490036770524
88,5.83865,0.14755,8.490310000000001,0.6464981579227285
89,5.3645,0.25975,8.96434,0.7914131225811314
90,4.66772,0.08881,8.03171,-0.36870595991320876
91,5.61273,-0.10713,7.2866399999999985,-0.46035978790973786
92,5.17473,-0.12917,8.848460000000003,0.5926364715425141
93,5.3186,0.13326,8.4586,0.3339630206337194
94,5.25171,0.2709,7.601,-0.4159097493532897
95,6.2693,0.01965,6.75725,-0.44105053194461696
96,5.33936,0.04044,8.459660000000001,0.34511847931447903
97,4.60194,0.11826,8.46245,-0.02516334937828546
98,4.91418,0.13609000000000002,7.06303,-1.0532252574452592
99,5.57451,-0.03127,7.517360000000001,-0.29990903183339057
100,5.6749300000000025,0.13313,8.25226,0.35741130255138387
101,5.85944,0.12822,8.29062,0.4943288952048537
102,5.19731,-0.1545,7.969639999999999,-0.14286095040096392
103,5.82527,-0.2265,7.05232,-0.5088139447898605
104,4.96558,-0.09425,7.99794,-0.2441877840304567
105,5.01624,0.04132,7.20447,-0.8798117659423745
106,5.12003,0.07117000000000001,7.74222,-0.3763581984809772
107,5.78218,0.27493,7.8182399999999985,0.06931116604930132
108,5.20872,0.34784,8.47762,0.297299857643722
109,5.93571,0.35799000000000003,8.04958,0.3491311598230453
110,5.59845,0.2834,8.57817,0.5886459040098568
111,4.64206,0.4782,8.16324,-0.25572112911765466
112,5.3569900000000015,0.38936,7.0003199999999985,-0.8352345048330765
113,5.56189,0.15913,8.15118,0.21053566122045098
114,4.83748,0.37622,8.97552,0.5443805383153588
115,5.22575,0.47917,8.07092,-0.03176135299962368
