time,x,y,z
8259,-0.10350,-0.01399,0.02803
8309,-0.07280,-0.01476,-0.02602
8360,0.03990,-0.21010,-0.05927
8409,-0.01045,0.00015,-0.06081
8459,0.04466,-0.06673,-0.00360
8511,-0.01563,-0.01714,0.02333
8560,-0.06082,0.31877,-0.04166
8617,0.08759,0.01001,-0.07487
8659,0.00204,-0.14951,-0.07536
8709,-0.05157,0.15114,-0.10597
8759,0.04741,0.00688,-0.08569
8809,-0.11688,-0.26462,-0.03404
8860,-0.10822,-0.04437,-0.05165
8909,0.01782,0.02757,-0.11850
8959,0.07269,-0.06654,-0.06238
9010,-0.10379,-0.00114,0.07547
9060,-0.11823,0.28300,0.07150
9109,0.03804,0.08571,0.05197
9159,-0.08464,-0.01872,0.04729
9210,-0.03233,-0.05910,0.03191
9259,0.03172,-0.25815,0.07721
9311,-0.09642,0.07634,0.06416
9359,0.07452,-0.03914,0.05203
9410,-0.03291,-0.24902,0.11197
9459,-0.10526,0.08421,0.05667
9512,0.08813,-0.06058,0.00639
9560,0.04071,-0.21512,0.01123
9614,-0.03806,0.06538,0.00175
9659,0.09146,0.05518,-0.03230
9710,0.06612,-0.05688,-0.00739
9759,-0.04234,0.32623,-0.02187
9810,0.08063,0.04811,0.02011
9860,0.03662,-0.20721,0.00749
9909,0.00243,-0.07236,-0.02510
9959,0.04161,0.03824,-0.00175
10011,-0.00403,-0.10133,0.05925
10060,-0.01791,0.14706,0.00508
10109,0.04893,-0.12254,0.01990
10159,-0.03282,0.13368,-0.06128
10210,0.08301,0.00897,-0.07082
10259,-0.07048,0.11983,0.00189
10309,0.06308,0.22906,-0.03572
10359,0.02557,-0.34840,0.06340
10409,-0.17484,0.16986,-0.04063
10460,0.17133,-0.31796,0.00368
10510,-0.08913,0.05292,-0.02090
10559,-0.02827,0.11224,-0.01300
10616,0.01599,-0.16443,0.06180
10659,-0.04797,0.12119,-0.01270
10709,0.04051,0.11525,-0.03819
10759,0.07738,-0.08759,-0.01381
10810,-0.04599,-0.11995,0.03041
10859,0.04893,0.13104,-0.04794
10910,-0.00735,-0.22113,0.05188
10959,-0.12735,0.31125,0.00177
11011,0.14128,-0.14883,-0.01123
11060,-0.15640,-0.13612,0.05946
11111,-0.04486,0.31776,-0.06992
11160,0.13457,-0.45966,0.03900
11211,-0.21123,0.10210,0.00096
11259,0.05766,0.11378,-0.00171
11311,0.07407,-0.20403,0.04858
11360,-0.12213,0.09189,-0.00912
11411,0.06046,0.11084,-0.10773
11459,0.03825,-0.15741,-0.10597
11511,-0.05850,0.09520,-0.09303
11559,0.00781,0.10318,-0.04300
11611,-0.07623,0.02780,-0.04210
11664,-0.00063,-0.26646,-0.04373
11709,-0.07195,0.18114,-0.06009
11759,0.10654,-0.09573,0.08130
11809,-0.14514,-0.28709,0.21127
11859,-0.20390,-0.05692,0.12680
11910,0.06119,-0.15401,0.00505
11959,0.07043,-0.21970,-0.01653
12010,0.01979,0.18375,0.03136
12060,-0.02400,0.09940,0.15022
12110,-0.08043,0.19017,0.14574
12160,0.06607,0.15808,-0.00671
12210,0.09624,-0.15504,0.01273
12259,0.03191,0.00340,-0.04585
12312,0.06937,-0.10536,-0.01886
12359,0.02504,0.03020,-0.06184
12410,0.04539,-0.24547,0.01135
12460,-0.08517,0.17522,-0.04129
12510,0.11841,0.09700,-0.08527
12560,0.03130,-0.25777,0.04507
12610,-0.07350,0.22980,0.03807
12659,0.15617,0.03741,0.01169
12714,-0.03642,-0.28474,0.01645
12759,-0.07162,0.11906,-0.10782
12809,0.21260,0.12059,-0.19678
12859,0.02672,-0.23969,-0.04272
12910,-0.16060,0.16487,0.01965
12959,0.02867,0.09917,-0.00685
13011,0.06192,0.03835,-0.06613
13059,-0.07072,-0.07278,0.01541
13111,-0.07022,-0.02718,0.01189
13159,0.00856,-0.13867,-0.02742
13210,-0.00273,-0.03496,-0.06453
13259,-0.08316,0.10370,0.00873
13310,-0.03610,-0.02136,0.06410
13359,-0.06932,-0.09383,0.07874
13411,-0.05707,0.31369,-0.04808
13460,0.11919,0.04083,0.01796
13510,-0.05711,-0.15109,0.06860
13560,-0.07744,0.03267,0.05405
13609,0.08954,0.34016,-0.08147
13660,0.11836,-0.55551,0.07332
13715,-0.28366,0.39078,0.09560
13759,0.18192,0.64635,-0.10423
13809,0.06232,-1.08362,0.18080
13860,-0.39384,0.41440,-0.04411
13910,0.22839,0.38022,-0.16458
13959,0.27477,-0.55382,-0.00142
14010,-0.26709,0.14520,0.11697
14061,-0.06136,0.29678,0.14314
14110,0.01837,0.02182,0.04443
14159,0.06837,-0.09741,-0.03394
14209,0.05730,-0.09659,-0.01956
14258,-0.00546,0.10364,0.00671
14310,0.01881,0.06332,0.03096
14360,-0.00420,-0.05621,-0.02396
14410,-0.00089,-0.19505,-0.04256
14459,0.00624,0.09816,-0.12527
14512,0.12793,0.07262,-0.11815
14559,-0.06905,0.06967,0.02481
14612,-0.06293,-0.07652,0.08722
14661,-0.05591,-0.09526,0.00417
14711,0.07735,0.01993,-0.13292
14772,0.10144,-0.40158,-0.02791
14809,-0.13617,0.16019,-0.01857
14859,0.09715,0.26237,-0.03429
14909,0.02789,0.21303,0.00917
14959,-0.14479,-0.15186,0.14684
15010,-0.15022,0.38736,0.03250
15061,0.24982,-0.26520,-0.11310
15109,0.04613,-0.74571,0.10083
15159,-0.12317,0.31906,0.00343
15209,0.11188,-0.06151,0.12137
15260,-0.18546,0.23305,0.10097
15310,0.01958,0.17722,0.02776
15359,0.07292,-0.60315,0.15756
15409,-0.25984,0.27919,0.02042
15460,0.24545,-0.16005,-0.07478
15509,0.05315,-0.70204,0.06503
15559,-0.21732,0.34721,-0.08667
15611,0.19043,0.21561,-0.09264
15660,0.11447,-0.55684,0.06671
15709,-0.30814,0.47653,0.01701
15759,0.16658,0.36403,-0.13127
15814,0.14409,-1.02998,0.04465
15859,-0.30475,0.34021,-0.08415
15910,0.30702,0.40585,-0.18443
15959,0.02504,-0.66266,0.08591
16010,-0.38222,0.53520,-0.00632
16059,0.21269,0.03984,-0.05432
16110,0.02946,-0.41420,0.02487
16159,-0.04869,0.74364,-0.10861
16211,0.27759,-0.06068,-0.00467
16260,-0.35519,0.14107,0.17613
16310,-0.13965,0.14128,0.03795
16360,0.20375,-0.33952,-0.12151
16409,-0.02892,0.13469,-0.19971
16460,0.02007,-0.14903,-0.04956
16509,-0.06206,0.22997,-0.00272
16558,-0.03214,0.27673,-0.03317
16610,-0.04437,-0.07610,-0.05023
16659,-0.01015,0.11220,-0.13921
16710,0.17361,-0.14917,-0.12891
16761,-0.03340,-0.33463,-0.01115
16815,-0.22081,0.36307,-0.03450
16859,0.10805,0.04381,-0.13635
16909,0.05107,-0.51834,-0.04367
16959,-0.21638,0.42355,-0.07024
17009,0.09224,0.29378,-0.03142
17059,-0.03978,0.13420,0.11131
17109,-0.18069,-0.22911,0.23378
17159,-0.12222,0.06133,0.11830
17209,0.16901,0.03647,-0.04721
17258,0.07654,-0.26842,0.05562
17312,-0.03615,0.10173,0.14619
17360,-0.05632,0.07440,0.18564
17409,-0.10905,0.19620,0.05693
17459,0.10927,-0.33514,-0.03198
17509,0.02661,0.08833,-0.09576
17559,0.16174,0.00185,-0.08904
17610,0.01131,-0.47565,0.10126
17660,-0.23212,0.19937,0.03255
17709,0.12497,0.37076,-0.13866
17759,0.16821,-0.47742,-0.06030
17815,-0.16547,0.24597,-0.08795
17859,0.02090,0.25526,-0.07718
17909,-0.01767,-0.25417,0.04282
17959,-0.09807,0.58830,-0.10155
18010,0.13409,-0.22446,0.01215
18059,-0.08649,-0.18542,0.01024
18110,-0.06587,0.30551,-0.09811
18159,0.18323,0.11871,-0.04465
18211,-0.11230,-0.26042,0.14014
18259,-0.24435,0.39098,0.01207
18310,0.21321,-0.04865,-0.04353
18358,0.00075,-0.34436,0.07768
18409,-0.05894,0.52472,-0.04199
18459,0.12881,-0.31232,0.07539
18510,-0.12842,-0.05121,0.12825
18560,0.08554,0.47681,-0.06844
18610,0.20767,-0.24893,0.06250
18660,-0.18674,0.01210,0.11664
18711,0.03519,0.10078,0.00334
18761,0.15079,-0.57002,0.00157
18823,-0.09100,0.23061,-0.10149
