time,x,y,z
8228,0.11595,-0.02719,-0.08321
8278,-0.01897,0.04625,-0.01570
8328,-0.01440,0.18120,0.09116
8379,-0.02580,0.09114,0.07179
8427,0.01331,-0.17903,0.09799
8478,-0.04315,0.29459,-0.04546
8527,0.12057,0.15842,0.01900
8577,0.08537,-0.13774,0.18292
8628,-0.16061,0.16469,0.12242
8678,-0.01985,-0.19220,-0.02469
8727,0.23387,-0.36189,-0.01411
8782,0.12836,0.35629,-0.14981
8827,0.07863,0.13571,-0.11755
8877,0.07628,-0.35703,0.18250
8927,-0.10194,0.57120,-0.08804
8977,0.03506,-0.32851,-0.08504
9027,0.27051,-0.21004,-0.05638
9078,-0.01767,0.42506,-0.30392
9127,0.04941,-0.74117,0.01201
9177,0.00798,-0.78680,0.25403
9228,-0.19666,0.00758,-0.05801
9276,0.07268,0.78191,-0.33699
9326,0.23087,-0.60913,-0.02280
9376,-0.05957,0.15242,0.14635
9427,-0.15746,1.11940,-0.12213
9476,0.12656,-0.22694,0.00346
9527,0.17044,-0.23038,0.09990
9578,-0.16072,0.05713,-0.11613
9628,-0.01074,-0.55379,-0.15681
9678,0.17006,-0.55394,-0.17967
9727,-0.09024,-0.10501,-0.28319
9785,-0.04042,-0.16083,-0.25519
9827,-0.07187,0.45879,-0.19131
9877,-0.32693,0.56569,-0.21086
9927,-0.00165,0.45468,-0.06244
9978,0.07321,0.58119,-0.10321
10027,-0.07521,0.00429,0.02121
10079,-0.15279,0.28491,-0.06413
10128,0.00363,-0.77475,0.04318
10178,-0.03818,-0.25917,-0.02963
10227,-0.35434,-0.09624,-0.27902
10277,0.10812,-0.39633,-0.04233
10327,-0.03494,0.45680,-0.10176
10377,-0.16936,0.23451,-0.06314
10427,-0.10304,0.52101,-0.02266
10477,-0.08438,0.20367,-0.05481
10527,0.04095,0.06595,0.12122
10577,-0.16042,0.09755,0.02069
10627,0.09358,-0.32829,0.14365
10677,0.05066,-0.09886,0.10089
10727,-0.26886,-0.26839,0.02431
10783,-0.02184,-0.63176,0.18668
10827,-0.15126,0.17194,0.15268
10877,-0.27158,0.22153,0.03842
10927,0.15469,0.06898,0.21136
10978,-0.10295,0.59740,0.09915
11027,-0.00784,-0.20297,0.24324
11076,0.07281,0.52379,0.16258
11127,-0.19905,0.07759,-0.10995
11178,0.23698,-0.75525,0.31383
11227,-0.20190,0.05301,0.01974
11277,-0.02203,-0.50798,-0.04901
11328,0.23727,0.02710,-0.18314
11378,0.03397,-0.10873,-0.25902
11428,0.15018,0.00566,0.03917
11478,-0.11176,0.60088,-0.07219
11528,-0.03043,-0.05629,-0.02740
11577,0.14886,0.24672,-0.09520
11627,0.00896,0.13908,-0.13568
11678,0.06044,0.08530,-0.05069
11728,0.09074,-0.27988,0.07829
11786,0.00316,0.23586,0.08522
11827,-0.06203,0.09088,0.07973
11877,0.11389,-0.08408,0.19720
11927,-0.00020,-0.10432,-0.06923
11977,0.17592,-0.08771,-0.04240
12026,-0.06967,0.10573,-0.10927
12078,0.02190,-0.20619,-0.04601
12127,0.02197,0.06082,-0.14951
12178,-0.04425,-0.05183,-0.16330
12228,0.02998,0.26016,-0.20369
12278,0.00064,-0.22369,-0.14508
12327,-0.03654,0.11523,-0.10956
12378,-0.22595,0.10329,-0.22433
12426,0.08070,-0.13347,-0.03955
12477,-0.16615,0.43567,-0.19600
12527,-0.08928,-0.77757,0.02512
12577,0.03912,-0.06099,0.17798
12627,-0.34326,0.34769,-0.24110
12677,-0.26233,-0.43175,-0.17189
12727,0.02757,0.13568,0.02942
12780,-0.34943,0.49144,-0.24826
12827,-0.33437,0.43581,-0.24034
12878,0.01830,0.08392,0.09029
12927,-0.26785,0.34865,-0.00104
12976,0.00320,-0.44696,0.05331
13027,0.07550,0.13052,0.01146
13077,-0.14433,-0.15666,-0.13945
13129,0.08496,-0.70726,0.17438
13177,-0.02565,0.38219,0.08974
13227,-0.18333,0.14142,-0.03346
13277,0.16351,-0.27873,0.26924
13327,-0.07162,0.55199,0.11606
13376,-0.06395,0.12436,0.21004
13428,0.10210,-0.07552,0.39442
13483,-0.10825,-0.04422,0.30928
13527,0.17183,-0.13266,0.24159
13577,0.14536,0.08119,0.03984
13630,-0.02693,-0.32173,0.02895
13681,0.06371,-0.29765,0.08441
13727,-0.11153,0.23936,-0.17111
13785,0.01788,-0.09370,-0.23946
13827,0.20593,-0.27739,-0.17827
13877,-0.08459,0.43671,-0.12498
13927,-0.06433,0.21773,0.00368
13977,0.00554,-0.24672,0.16599
14028,-0.14270,0.29300,0.08545
14077,-0.12747,-0.36325,0.04881
14127,0.05244,-0.40781,0.11005
14178,-0.08655,0.03380,0.00153
14228,0.08946,-0.33394,0.04665
14277,0.23753,0.00464,-0.01547
14328,0.02118,0.37419,-0.15987
14378,0.16173,0.22217,-0.09077
14428,0.12617,-0.04840,0.14981
14477,-0.14793,0.38313,0.22290
14528,-0.14131,0.61115,0.02312
14578,0.17828,-0.39372,0.06944
14627,0.08440,-0.10097,0.10428
14678,-0.17337,-0.03099,0.01532
14728,0.12338,-0.55075,0.08237
14783,0.12601,-0.21623,0.06467
14830,-0.16907,0.52127,-0.13478
14877,0.09303,-0.22853,-0.03587
14927,0.18350,0.24789,-0.02945
14977,-0.14558,0.73387,-0.18536
15027,0.05589,-0.00990,-0.04948
15077,0.10130,-0.10147,0.02277
15127,-0.14674,0.22484,-0.08119
15178,0.03061,-0.26588,-0.12320
15228,0.25562,-0.44539,0.03394
15277,0.01872,0.38185,-0.08907
15327,-0.09573,-0.43428,-0.04395
15378,0.17981,-0.10452,0.13354
15427,-0.10957,0.16887,-0.02184
15478,0.08572,-0.17505,0.16408
15527,-0.09314,0.33908,0.01154
15578,-0.08817,-0.22197,0.06096
15628,0.10191,0.06412,0.18983
15678,-0.14557,0.59917,-0.00314
15727,0.06839,-0.36090,0.02029
15801,0.16748,-0.57050,0.31396
15827,-0.16855,0.28973,0.19882
15877,-0.22874,-0.06941,-0.09041
15927,0.34692,-0.42943,0.04553
15978,-0.12218,0.01625,-0.01669
16027,-0.02791,-0.08139,0.10072
16077,0.13388,-0.12830,0.04950
16127,0.06262,0.31474,-0.01889
16177,-0.02905,-0.00197,-0.00789
16227,0.14746,-0.12492,0.14268
16277,-0.05574,0.26918,-0.08188
16327,0.14523,-0.06363,-0.00540
16377,0.09805,0.29414,-0.11615
16427,0.01453,-0.45824,0.04221
16477,0.11012,0.15062,0.04645
16527,-0.04910,0.44373,-0.27524
16578,0.20990,-0.54089,-0.06868
16628,0.11639,0.15857,0.11957
16678,-0.29265,0.68799,-0.11327
16727,0.13475,-0.79788,0.11546
16791,0.17723,-0.19183,0.15283
16828,-0.17322,0.06503,-0.08203
16877,0.23779,-0.37766,0.02348
16928,0.11285,0.25316,-0.13655
16979,-0.05417,0.15871,-0.13992
17027,0.13628,-0.06175,0.00110
17076,-0.02643,0.46147,-0.14081
17126,-0.04596,-0.21658,-0.13811
17177,0.11977,-0.12431,-0.18262
17228,-0.12813,0.15108,-0.42361
17278,0.01334,-0.53523,-0.26668
17327,-0.05054,-0.01584,-0.18562
17378,-0.33577,0.12177,-0.23306
17428,-0.00444,-0.08244,-0.10336
17478,0.04167,0.69421,-0.21582
17527,-0.09471,0.15469,-0.16643
17577,-0.01468,0.16418,0.04633
17627,-0.23579,0.43422,-0.06392
17677,-0.04419,-0.20630,0.06393
17727,-0.07782,-0.42303,0.14096
17789,-0.23820,-0.27898,0.02948
17828,-0.21680,0.05115,-0.07503
17876,0.13333,-0.16713,-0.11940
17926,0.05855,-0.12155,-0.00766
17977,-0.24101,0.18544,0.06096
18027,-0.12512,0.18990,0.06436
18077,0.00584,0.12422,0.06670
18127,-0.06902,0.04639,0.02374
18178,0.03058,0.00589,0.09984
18229,-0.02617,-0.02831,0.10721
18278,0.02696,-0.18309,0.18932
18327,-0.04584,0.20728,0.01692
18377,-0.07066,-0.07321,-0.11453
18428,0.13214,0.06459,-0.06418
18477,-0.01483,0.08768,0.03683
18528,0.09215,-0.13757,0.30467
