,x,y,z,magmean
0,6.9702800000000025,0.5915699999999999,6.79315,0.0793600428697161
1,6.1455800000000025,0.27838,6.6579,-0.6066737642966551
2,6.7805,0.62164,6.28506,-0.4053605638735256
3,5.56442,0.6479600000000001,8.26253,0.3109643264448696
4,6.8299600000000025,0.27158000000000004,6.83107,-0.007997828505946103
5,6.72633,0.36591,7.28685,0.25186498552982606
6,5.4230800000000015,0.4668600000000001,7.95085,-0.03607447339062375
7,5.5864699999999985,0.20038,6.63103,-0.9987122812917697
8,6.47618,0.7035100000000001,8.90018,1.3578405438015526
9,6.30989,-0.07904,7.915739999999999,0.4516138772852596
10,6.48515,0.41925,8.19041,0.783795877229915
11,4.4370699999999985,0.25945,7.23831,-1.17762170775746
12,6.8753699999999975,-0.37105,6.27647,-0.35483759289789063
13,4.42496,0.90733,10.15932,1.4466201229037754
14,6.16006,-0.08224,4.57645,-1.997183806904662
15,6.42734,1.01849,7.74966,0.44792627129464435
16,5.4017,0.06534,7.67863,-0.2831185936349545
17,6.35693,0.30904,7.3965,0.08615861522836354
18,5.84036,0.43857,7.760280000000002,0.05072852706991604
19,5.98543,0.2188,7.30196,-0.22747720404787408
20,5.91615,0.33298,7.37967,-0.2074135712090559
21,6.09923,0.29781,7.6535,0.11946400699280346
22,6.39839,0.01416,6.802689999999999,-0.3326610495243951
23,6.48875,0.02495,7.42776,0.1912438756302599
24,5.7074099999999985,-0.39838,7.6434,-0.12411947255469435
25,6.27925,-0.17818,6.691210000000001,-0.4937668503331629
26,5.55746,0.85521,7.02226,-0.6755736225525872
27,6.5347300000000015,0.8408100000000001,5.9946,-0.7640470300736997
28,6.18593,1.14473,7.45821,0.08547996113278522
29,5.99695,0.6593899999999999,7.149660000000001,-0.3166314655308984
30,5.95055,0.4877,7.13104,-0.3711578528212254
31,6.18434,0.5573,7.5407,0.09663304171403198
32,5.7682,0.52818,7.73137,-0.011125485197622353
33,5.95,0.47975,6.71945,-0.6836481756894734
34,6.12134,0.64272,7.9014,0.3441665380467853
35,6.67166,0.62508,8.32426,1.0145879350047586
36,6.43771,0.57265,7.831939999999999,0.48275282042738255
37,5.60954,0.35738000000000003,6.53925,-1.0486031009805785
38,6.7291,0.18817,6.07425,-0.6044993600543318
39,5.52457,0.49908,8.42563,0.41605370622052895
40,5.74648,0.48868,7.137760000000001,-0.49510503772577685
41,6.59962,0.10471,6.16899,-0.6371108855840504
42,5.8082,0.78906,9.1869,1.2259438162251097
43,6.18826,-0.03098,6.17296,-0.9308576334942096
44,6.53014,0.26639,7.1028,-0.019499675342290246
45,5.1106099999999985,0.50818,8.83434,0.547093698176015
46,7.67784,0.37251,7.0239600000000015,0.7410630887484437
47,5.51694,0.8641700000000001,9.36389,1.2309400325129918
48,6.9161100000000015,-0.15184,5.08084,-1.0884656519529408
49,5.0549300000000015,0.18353,7.73355,-0.43074534173123347
50,6.674639999999999,0.34087,6.84253,-0.10672609275946066
51,5.41057,0.8970299999999999,9.05511,0.9148766500116832
52,5.9951300000000005,0.41856,6.41635,-0.8803576709719678
53,5.65302,0.31863,6.35214,-1.1623419125490635
54,6.6143800000000015,0.36116,6.67888,-0.2648211238458984
55,5.06462,0.89575,9.98412,1.559379841149937
56,7.30823,0.28159,5.6799,-0.41144986731324096
57,5.72887,0.90794,8.33257,0.481014853938154
58,6.2805300000000015,0.56285,6.80788,-0.39212349174224315
59,6.75935,0.80125,7.99582,0.8290426178935064
60,6.43936,0.94467,8.090810000000001,0.7119694291843608
61,5.2018900000000015,0.7790699999999999,7.84132,-0.22953990235655297
62,7.27585,0.00253,4.73956,-0.988222115990407
63,4.18492,1.38281,10.92393,2.107935386989052
64,6.671310000000001,-0.29858,4.20996,-1.777364921920542
65,5.32132,1.11322,9.85149,1.5803807958329799
66,7.2457699999999985,-0.34958,7.5822,0.8218593987209903
