time,x,y,z
8189,-0.18423,0.10297,-0.03571
8238,-0.57329,-0.15794,0.29532
8288,0.25035,-0.20897,0.26633
8338,0.33672,-0.28699,-0.01167
8388,0.12305,-0.33922,0.04834
8439,0.13980,-0.20799,0.28419
8488,0.20457,-0.08168,0.40942
8539,0.21368,0.07771,0.36644
8588,0.34036,0.38197,0.31001
8638,0.26781,0.59430,0.28198
8688,0.05191,0.42120,0.30260
8739,0.18648,0.40121,0.28752
8788,-0.07655,0.06906,0.21893
8842,-0.10812,-0.19623,0.18413
8888,0.25974,-0.43617,0.27380
8938,-0.08365,-0.50124,0.15498
8988,-0.09564,-0.37605,-0.08679
9040,0.13254,-0.11725,-0.21660
9088,0.08151,0.11334,-0.26804
9139,0.08929,0.50932,-0.21964
9188,0.17401,-0.16660,-0.23225
9239,-0.03566,-2.39928,0.11182
9288,-0.20369,0.21266,0.21468
9339,0.28485,2.69456,0.44592
9388,-0.55869,0.87781,0.23805
9438,-0.66080,-0.44652,0.03041
9488,0.01518,-0.19690,0.06740
9538,-0.12512,-0.39749,-0.12799
9588,0.10165,-0.28212,-0.25912
9640,0.06082,-0.26270,-0.06017
9688,-0.45656,-0.82587,-0.14673
9739,-0.25188,-0.09077,-0.30183
9788,0.32346,3.95720,-0.72890
9843,-0.83904,0.73848,-0.29504
9888,-0.82918,0.12268,0.31316
9938,-0.01358,0.12427,-0.17819
9988,0.32869,-0.54393,-0.33093
10038,0.02304,-0.43291,-0.26802
10088,-0.13394,-0.93504,-0.39943
10138,0.06760,-0.72658,-0.54504
10188,-0.10423,-0.69275,-0.51509
10239,0.06898,-0.32684,-0.48338
10288,0.18312,1.06725,-0.79012
10339,-0.34639,0.41353,-0.68008
10389,-0.27780,0.20108,-0.21858
10438,-0.22665,0.38228,-0.42764
10489,-0.22981,-0.57253,-0.30710
10538,-0.17349,-0.41232,-0.14311
10590,-0.18442,-0.29663,-0.22159
10639,-0.03375,-0.24803,-0.17743
10690,-0.14098,-0.29565,-0.04900
10739,-0.27025,-0.24425,0.01439
10788,0.02902,-0.07222,0.08791
10843,0.13136,0.15135,0.13835
10888,0.01067,0.26831,0.16443
10938,0.21010,0.24326,0.18002
10988,0.05473,0.18608,0.19949
11039,-0.04214,-0.01102,0.13258
11089,0.02995,-0.27907,0.20584
11138,0.04831,-0.07347,0.27547
11189,-0.01953,0.02869,0.24294
11238,0.02682,0.02440,0.18857
11288,0.12550,-0.05380,0.09874
11338,0.13557,0.02684,0.00653
11390,0.07481,0.18713,-0.18549
11439,-0.05562,0.22110,-0.26163
11488,-0.09657,0.09958,-0.04788
11539,-0.12758,-0.24620,0.06029
11588,-0.17203,-0.29471,-0.05920
11639,-0.02966,0.20250,-0.24684
11689,0.12987,0.14102,-0.24684
11739,0.08096,0.19766,-0.13211
11788,-0.24022,-0.28091,-0.27942
11846,-0.15488,-0.34962,-0.31847
11889,-0.26836,-0.46773,-0.32700
11938,-0.12425,0.07292,-0.35612
11988,-0.04239,0.52321,-0.41304
12039,-0.18039,0.13737,-0.26253
12089,-0.29857,-0.16678,-0.02478
12139,-0.23482,-0.13658,-0.02087
12188,-0.02374,-0.16089,-0.03497
12240,0.05315,-0.10788,0.02191
12288,-0.02556,0.23039,0.18811
12339,-0.06876,0.12219,0.31676
12388,-0.04128,0.10406,0.33339
12438,-0.06723,0.34877,0.16107
12489,0.16228,0.27458,0.00197
12539,0.38309,0.16318,0.01323
12589,-0.02583,-0.24551,0.16220
12638,-0.05571,-0.07278,0.19780
12689,0.12985,-0.04750,0.06766
12739,0.11552,-0.05800,-0.00677
12788,0.12567,-0.22304,-0.02086
12844,0.10168,-0.26114,-0.06105
12888,-0.18474,-0.20569,-0.16716
12938,-0.04512,-0.19151,-0.22366
12988,0.04257,0.18355,-0.27142
13039,-0.04198,0.39069,-0.25027
13087,0.04471,0.20329,-0.08075
13138,0.04536,0.09479,0.07094
13189,-0.01273,-0.32822,0.18884
13239,0.09833,-0.49174,0.29549
13289,-0.00333,-0.17212,0.16052
13339,-0.15207,-0.18983,0.00778
13390,0.07605,0.27225,0.03889
13439,-0.03807,0.41273,-0.08638
13489,-0.03967,0.16614,-0.11102
13539,0.05315,0.28893,-0.04906
13589,-0.04037,0.02594,-0.07254
13639,0.06277,-0.02145,-0.12842
13688,0.13985,0.22354,-0.14578
13738,-0.06288,-0.29967,-0.09125
13788,-0.02347,-0.08438,-0.02127
13843,-0.17752,0.07022,-0.05692
13888,-0.05814,-0.26816,0.03519
13938,-0.08382,-0.28683,0.14272
13988,-0.20020,-0.18636,0.04869
14039,0.02829,0.08598,-0.01164
14089,0.04166,0.11699,-0.05496
14138,-0.05762,0.31381,-0.07108
14189,-0.06415,0.24432,0.02954
14238,-0.03496,0.01796,0.23993
14290,-0.16216,-0.16232,0.30116
14339,-0.08582,0.03256,0.15309
14388,0.05717,-0.54015,0.19173
14439,0.16487,-0.15833,0.24348
14488,-0.01260,-0.05898,0.10423
14538,0.23392,-0.01164,0.08717
14588,0.17061,0.31497,0.10490
14639,0.06714,-0.08556,0.20628
14689,0.14880,0.23553,0.14047
14740,-0.17647,0.14136,-0.01299
14789,-0.00816,0.01590,0.19688
14839,0.03432,0.01494,0.24310
14899,-0.05504,0.09595,-0.02296
14938,0.24623,0.15140,-0.04243
14988,0.20787,-0.41348,0.11903
15039,-0.02539,-0.62456,0.12784
15089,-0.06915,-0.10416,-0.17932
15139,0.08984,0.11696,-0.24167
15189,0.16251,0.12411,-0.07408
15239,0.04085,-0.22211,0.02795
15289,0.08308,-0.04633,-0.01657
15339,-0.01488,-0.16205,-0.15112
15388,0.02759,-0.26764,-0.14037
15439,0.01007,0.00012,-0.20496
15488,-0.06221,0.05417,-0.27231
15538,-0.00737,0.02318,-0.23720
15588,-0.11461,0.11539,-0.16785
15639,-0.08739,0.17467,-0.09853
15688,-0.05547,0.09160,-0.00793
15738,-0.11244,0.12579,0.06578
15788,-0.03072,-0.07303,0.05640
15838,0.09773,0.14743,-0.01047
15895,-0.13493,-0.13905,-0.02782
15939,-0.09052,0.09590,-0.02754
15988,-0.05811,-0.04276,-0.08716
16038,0.00113,0.10327,-0.05634
16089,-0.11441,-0.01852,-0.04724
16139,-0.11316,-0.19742,0.04179
16189,-0.07808,-0.07146,0.05196
16239,-0.07198,-0.00829,-0.01985
16288,0.08632,0.25153,-0.07507
16339,0.02968,0.32347,-0.10330
16390,-0.05052,-0.02237,0.04979
16438,-0.14497,-0.24661,0.14584
16489,-0.16707,-0.27611,0.11456
16538,-0.13260,-0.19891,-0.01674
16589,-0.07851,-0.59795,-0.04034
16639,-0.10017,-0.14612,-0.18047
16688,-0.05812,0.15266,-0.23891
16738,-0.12526,0.03111,-0.15900
16788,-0.07462,0.12398,-0.11618
16839,-0.04651,0.14587,-0.05217
16888,0.05331,0.15781,0.08769
16942,0.01953,-0.00366,0.18730
16988,-0.00226,0.06253,0.22083
17038,0.04929,0.02965,0.15976
17088,0.04282,-0.00647,0.08003
17139,-0.03316,-0.09293,-0.04309
17189,0.06889,-0.36357,-0.00122
17238,-0.06171,-0.17480,-0.01753
17289,-0.13934,-0.04309,-0.13716
