,x,y,z,magmean
0,3.80315,-0.10666,6.1337,-2.5576490738941278
1,7.3685800000000015,0.40216,3.68669,-1.526310694327984
2,7.4851800000000015,0.3166,8.50531,1.558876570877958
3,7.5076100000000014,0.29228000000000004,4.68921,-0.9189745104941007
4,10.26733,0.47655,5.42561,1.8469798896737846
5,6.58171,0.37222,11.69136,3.646307823612572
6,9.3331,0.64931,4.84149,0.7586373099804753
7,7.9575,0.6180100000000001,6.88597,0.7658466682685727
8,6.54668,0.11748,6.28337,-0.7006297538515192
9,4.91681,0.71411,6.5144199999999985,-1.582675055989288
10,5.1152,0.31726,3.51245,-3.562366170284956
11,6.45903,0.04237,3.96295,-2.1975322638859103
12,6.38437,-0.01944,6.76463,-0.4738613875403743
13,6.96867,0.82629,8.75716,1.4464699893594553
14,7.0933800000000025,0.44305,6.854539999999999,0.09854360583025823
15,9.61961,0.40453,6.90742,2.074082886151663
16,6.14044,0.15588,12.44798,4.105460549280716
17,5.2112300000000005,0.25797,7.9968,-0.2270984248253587
18,5.3383,0.40405,6.7388,-1.1689992877187034
19,3.88676,-0.08975,8.04082,-0.8441249625660081
20,4.47365,-0.28648,5.07704,-3.0026324775969426
21,4.48222,0.09387,5.02342,-3.042473810191048
22,4.24266,0.19749,5.5396300000000025,-2.79506704060286
23,6.81734,-0.01395,5.54605,-0.9871719528009262
24,6.19139,-0.23547,7.79541,0.18225356419593552
25,8.20302,-0.37549,6.81123,0.8932883118210864
26,9.61311,0.077,10.10327,4.170590248242137
27,10.02763,0.54114,10.87875,5.029665509176738
28,9.3942,0.92892,8.55107,2.961622057935955
29,6.4028800000000015,0.35194000000000003,8.09222,0.5494421117570756
30,5.71332,-0.30232,4.52249,-2.4826194828324404
31,3.90773,0.22845,6.80005,-1.92929243452709
32,2.86766,0.11313,5.7989,-3.305313964953582
33,4.09029,-0.10419,5.08899,-3.2456501544911838
34,4.84299,0.62305,7.90659,-0.4826741229649265
35,4.84543,0.42003,6.52238,-1.6394199415923225
36,7.1384,0.74229,5.0226,-1.0157065858913619
37,7.6552,0.65361,7.587739999999997,1.0227752013003215
38,7.26929,0.03871,10.3642,2.8838962672858397
39,6.91812,0.64182,9.48842,1.9846894813751117
40,6.47513,0.8826299999999999,9.88789,2.0767713117199325
41,7.8022,0.06064,6.1231800000000005,0.14271654058288874
42,6.3196900000000005,0.12704,8.09592,0.49573236228952133
43,5.0972,0.37331,7.39153,-0.7891081984566348
44,4.24779,0.19872,4.88625,-3.2979663492577087
45,5.52927,0.15346,4.48016,-2.657355330892422
46,5.10004,0.42111,6.8163,-1.252037338178189
47,7.2469,0.6040300000000001,5.61191,-0.5898779184565992
48,8.40559,1.18639,9.79204,3.1838633689378923
49,8.48511,0.45586,7.99973,1.8949844919755172
50,7.60233,1.16138,9.75926,2.6497559243296447
51,6.33133,1.39578,10.86771,2.8791694471241485
52,4.63676,0.69504,7.71587,-0.7468242342696154
53,2.62917,0.6951,5.43831,-3.6951446796704106
54,2.42766,0.20895,3.78239,-5.2762196205247065
55,3.36465,0.04085,3.9668,-4.573781548686681
56,3.69118,0.62665,5.64471,-3.002019714282903
57,5.35321,0.43604,6.17436,-1.5920136493391794
58,7.07936,0.39751,8.22679,1.0852126777078652
59,8.629,0.42647,9.75163,3.2527535364176643
60,9.88869,0.23492,10.47612,4.632484193046341
61,9.80034,1.24355,12.74135,6.34698637285892
62,6.51938,2.06671,10.47661,2.7357974652239463
63,5.88596,2.11038,6.04608,-1.077624679037669
64,6.00345,1.15804,4.05711,-2.4377635438593988
65,3.19351,0.57936,7.1627,-1.9117741105686674
66,3.5622300000000005,0.22809,4.42522,-4.090088975312273
67,4.48073,0.8170000000000001,6.40829,-1.913543465028055
68,6.801189999999999,-0.11954,7.6593,0.4682798360000149
69,7.69365,-0.09691,8.89232,1.9835230114925828
70,9.43361,0.37088,6.66333,1.7800245710055513
71,6.16408,0.41249,8.54659,0.7701102179234276
72,7.07027,0.38081,4.5789,-1.3434308189054374
73,7.08638,0.80608,8.26262,1.1394937223808217
74,7.63783,0.5979300000000001,8.404160000000001,1.596549523328033
75,8.44022,0.89938,7.14217,1.3175805861978525
76,5.77847,0.62631,6.0439,-1.3903083029436427
77,4.29559,0.77342,6.43997,-1.9958317764783935
78,4.71887,0.6359600000000001,5.09305,-2.80333280805723
79,4.41522,0.39777,4.88016,-3.1824627501276783
80,6.88455,0.83749,5.2453,-1.0800234037670968
81,8.174380000000001,0.94577,7.0605600000000015,1.0672916753862953
